#CNN,Input_shape,Power,Memory,Latency,Input_width,Input_size,nb_conv_params,nb_bn_params,nb_fc_params,FLOPs,nb_layers,nb_conv_layers,nb_bn_layers,nb_fc_layers,sum_activations,weighted_sum_neurons
ShuffleNet0.5-v2,"(568, 568, 3)",2594,1990,7.83761163,480,691200,1243654,28120,1025000,1273918315,208,56,54,1,32151024,2595860800
ShuffleNet0.5-v2,"(600, 600, 3)",2747,2022,8.70273436,568,967872,1243654,28120,1025000,1817632739,208,56,54,1,45633768,3712844844
ShuffleNet0.5-v2,"(800, 800, 3)",3356,2106,14.48465497,600,1080000,1243654,28120,1025000,2025257067,208,56,54,1,50883272,4138167052
ShuffleNet0.5-v2,"(896, 896, 3)",3966,2151.5,17.98794923,800,1920000,1243654,28120,1025000,3526913515,208,56,54,1,89303024,7208904000
ShuffleNet0.5-v2,"(1024, 1024, 3)",4346,2218.5,21.04124956,896,2408448,1243654,28120,1025000,4422479107,208,56,54,1,112020944,9042588672
ShuffleNet0.5-v2,"(1200, 1200, 3)",5335,2402.5,28.51668355,1024,3145728,1243654,28120,1025000,5774276227,208,56,54,1,146312144,11810414592
ShuffleNet0.5-v2,"(1600, 1600, 3)",7463,2753,49.84230138,1200,4320000,1243654,28120,1025000,7996617959,208,56,54,1,201457128,16344378752
ShuffleNet0.5-v2,"(1792, 1792, 3)",8374,2737,62.37690146,1600,7680000,1243654,28120,1025000,14087828515,208,56,54,1,357203024,28832544000
ShuffleNet1.0-v2,"(32, 32, 3)",1527,2036,2.49885213,1792,9633792,1243654,28120,1025000,17670090883,208,56,54,1,448074704,36167282688
ShuffleNet1.0-v2,"(56, 56, 3)",1603,2038,2.63775631,32,3072,3962500,56240,1025000,31950513,208,56,54,1,284688,46038272
ShuffleNet1.0-v2,"(64, 64, 3)",1603,2039,2.66960406,56,9408,3962500,56240,1025000,86254641,208,56,54,1,993600,170854448
ShuffleNet1.0-v2,"(75, 75, 3)",1603,2038.5,2.74471644,64,12288,3962500,56240,1025000,91600161,208,56,54,1,1129680,181081088
ShuffleNet1.0-v2,"(112, 112, 3)",1679,2041.5,2.97986836,75,16875,3962500,56240,1025000,150738885,208,56,54,1,1817119,316146176
ShuffleNet1.0-v2,"(128, 128, 3)",1679,2047,3.14843165,112,37632,3962500,56240,1025000,275864553,208,56,54,1,3554688,598802432
ShuffleNet1.0-v2,"(150, 150, 3)",1755.5,2041,3.45379551,128,49152,3962500,56240,1025000,330198753,208,56,54,1,4509648,721252352
ShuffleNet1.0-v2,"(224, 224, 3)",1984,2047,4.7070051,150,67500,3962500,56240,1025000,495053649,208,56,54,1,6685380,1099693688
ShuffleNet1.0-v2,"(240, 240, 3)",1984,2048,4.96719106,224,150528,3962500,56240,1025000,986344881,208,56,54,1,13804560,2206723328
ShuffleNet1.0-v2,"(256, 256, 3)",1984,2053,5.18530436,240,172800,3962500,56240,1025000,1172302441,208,56,54,1,16055936,2628874240
ShuffleNet1.0-v2,"(299, 299, 3)",2442,2057,6.61690962,256,196608,3962500,56240,1025000,1284593121,208,56,54,1,18029520,2881937408
ShuffleNet1.0-v2,"(320, 320, 3)",2594,2057,7.06245005,299,268203,3962500,56240,1025000,1857446293,208,56,54,1,25606815,4183269632
ShuffleNet1.0-v2,"(331, 331, 3)",2747,2059,7.0860808,320,307200,3962500,56240,1025000,2000388897,208,56,54,1,28169424,4502451200
ShuffleNet1.0-v2,"(448, 448, 3)",3204,2089,11.93752194,331,328683,3962500,56240,1025000,2260327365,208,56,54,1,31258655,5095830016
ShuffleNet1.0-v2,"(480, 480, 3)",3204,2089,13.33037525,448,602112,3962500,56240,1025000,3909177633,208,56,54,1,55209168,8823821312
ShuffleNet1.0-v2,"(568, 568, 3)",3890,2339,17.34929316,480,691200,3962500,56240,1025000,4485790897,208,56,54,1,63377424,10129235200
ShuffleNet1.0-v2,"(600, 600, 3)",4119,2350.5,17.57624022,568,967872,3962500,56240,1025000,6403268657,208,56,54,1,89964864,14488154160
ShuffleNet1.0-v2,"(800, 800, 3)",5488,2426,29.5812477,600,1080000,3962500,56240,1025000,7136096705,208,56,54,1,100313856,16148228016
ShuffleNet1.0-v2,"(896, 896, 3)",6250,2474,37.75062273,800,1920000,3962500,56240,1025000,12439077297,208,56,54,1,176043024,28134944000
ShuffleNet1.0-v2,"(1024, 1024, 3)",7314,2538,46.03576168,896,2408448,3962500,56240,1025000,15600508641,208,56,54,1,220827600,35292213248
ShuffleNet1.0-v2,"(1200, 1200, 3)",8830,2446.5,63.30639886,1024,3145728,3962500,56240,1025000,20372480481,208,56,54,1,288426960,46095638528
ShuffleNet1.0-v2,"(1600, 1600, 3)",11865,2810.5,110.13164384,1200,4320000,3962500,56240,1025000,28176466921,208,56,54,1,397112576,63768970240
ShuffleNet1.0-v2,"(1792, 1792, 3)",12925,2878,138.13225024,1600,7680000,3962500,56240,1025000,49720107297,208,56,54,1,704163024,112536704000
ShuffleNet1.5-v2,"(32, 32, 3)",1755,2310,4.16801557,32,3072,8157562,84360,1025000,63231719,208,56,54,1,423472,101468992
ShuffleNet1.5-v2,"(56, 56, 3)",1755,2307,4.3839351,56,9408,8157562,84360,1025000,179829503,208,56,54,1,1482136,379910668
ShuffleNet1.5-v2,"(64, 64, 3)",1755,2310,4.40645464,64,12288,8157562,84360,1025000,191491343,208,56,54,1,1684816,402803968
ShuffleNet1.5-v2,"(75, 75, 3)",1831,2312,4.49696192,75,16875,8157562,84360,1025000,316228789,208,56,54,1,2711121,702932776
ShuffleNet1.5-v2,"(112, 112, 3)",1831,2313,4.92530357,112,37632,8157562,84360,1025000,584233499,208,56,54,1,5303512,1333098112
ShuffleNet1.5-v2,"(128, 128, 3)",1984,2315,5.05029908,128,49152,8157562,84360,1025000,704529839,208,56,54,1,6730192,1608143872
ShuffleNet1.5-v2,"(150, 150, 3)",2136,2355,5.95185088,150,67500,8157562,84360,1025000,1058694383,208,56,54,1,9980008,2452479448
ShuffleNet1.5-v2,"(224, 224, 3)",2594,2361,8.0389369,224,150528,8157562,84360,1025000,2115385703,208,56,54,1,20604976,4922828608
ShuffleNet1.5-v2,"(240, 240, 3)",2594,2366,8.29558983,240,172800,8157562,84360,1025000,2508071387,208,56,54,1,23963224,5861075584
ShuffleNet1.5-v2,"(256, 256, 3)",2594,2365,8.64101101,256,196608,8157562,84360,1025000,2756683823,208,56,54,1,26911696,6429503488
ShuffleNet1.5-v2,"(299, 299, 3)",3204,2347,11.23396952,299,268203,8157562,84360,1025000,3979887725,208,56,54,1,38223409,9328871272
ShuffleNet1.5-v2,"(320, 320, 3)",3280,2346,12.18888809,320,307200,8157562,84360,1025000,4295799311,208,56,54,1,42047824,10045523200
ShuffleNet1.5-v2,"(331, 331, 3)",3204,2348,12.4267327,331,328683,8157562,84360,1025000,4845293237,208,56,54,1,46660177,11364708136
ShuffleNet1.5-v2,"(448, 448, 3)",4119,2382,19.83328578,448,602112,8157562,84360,1025000,8400107279,208,56,54,1,82410832,19688242432
ShuffleNet1.5-v2,"(480, 480, 3)",4422,2392,20.60012786,480,691200,8157562,84360,1025000,9639950311,208,56,54,1,94603824,22601147200
ShuffleNet1.5-v2,"(568, 568, 3)",5335,2416.5,28.01710067,568,967872,8157562,84360,1025000,13761341695,208,56,54,1,134295960,32326951948
ShuffleNet1.5-v2,"(600, 600, 3)",5640,2418,30.16055119,600,1080000,8157562,84360,1025000,15336990743,208,56,54,1,149744440,36031206892
ShuffleNet1.5-v2,"(800, 800, 3)",7920,2499,49.73822656,800,1920000,8157562,84360,1025000,26741233511,208,56,54,1,262783024,62779144000
ShuffleNet1.5-v2,"(896, 896, 3)",8682,2540,62.51373046,896,2408448,8157562,84360,1025000,33538993583,208,56,54,1,329634256,78749897728
ShuffleNet1.5-v2,"(1024, 1024, 3)",9896,2594.5,78.44651657,1024,3145728,8157562,84360,1025000,43799763503,208,56,54,1,430541776,102856695808
ShuffleNet1.5-v2,"(1200, 1200, 3)",11713,2672,108.30359451,1200,4320000,8157562,84360,1025000,60545127707,208,56,54,1,592768024,142274798464
ShuffleNet1.5-v2,"(1600, 1600, 3)",14965,3022,188.19665787,1600,7680000,8157562,84360,1025000,106903498511,208,56,54,1,1051123024,251113504000
ShuffleNet1.5-v2,"(1792, 1792, 3)",16402,3158,235.80221313,1792,9633792,8157562,84360,1025000,134094538799,208,56,54,1,1318527952,314996518912
ShuffleNet2.0-v2,"(32, 32, 3)",2060,2707,7.10694839,32,3072,13828840,112480,1025000,106084621,208,56,54,1,562256,178848768
ShuffleNet2.0-v2,"(56, 56, 3)",2136,2704,7.10871109,56,9408,13828840,112480,1025000,308404813,208,56,54,1,1970672,671727552
ShuffleNet2.0-v2,"(64, 64, 3)",1984,2706,7.28018963,64,12288,13828840,112480,1025000,328812013,208,56,54,1,2239952,712323072
ShuffleNet2.0-v2,"(75, 75, 3)",2136,2703,7.43361024,75,16875,13828840,112480,1025000,543169461,208,56,54,1,3605123,1242536384
ShuffleNet2.0-v2,"(112, 112, 3)",2289,2709,8.02377337,112,37632,13828840,112480,1025000,1007599741,208,56,54,1,7052336,2357664768
ShuffleNet2.0-v2,"(128, 128, 3)",2289,2713,8.17030814,128,49152,13828840,112480,1025000,1219721581,208,56,54,1,8950736,2846220288
ShuffleNet2.0-v2,"(150, 150, 3)",2518,2707,9.24545329,150,67500,13828840,112480,1025000,1834453645,208,56,54,1,13274636,4340899152
ShuffleNet2.0-v2,"(224, 224, 3)",2898,2713,12.6190496,224,150528,13828840,112480,1025000,3669722893,208,56,54,1,27405392,8714437632
ShuffleNet2.0-v2,"(240, 240, 3)",3051,2715.5,13.16386477,240,172800,13828840,112480,1025000,4344974717,208,56,54,1,31870512,10372127744
ShuffleNet2.0-v2,"(256, 256, 3)",3204,2717.5,13.33040957,256,196608,13828840,112480,1025000,4783359853,208,56,54,1,35793872,11381809152
ShuffleNet2.0-v2,"(299, 299, 3)",3509,3017,15.65312851,299,268203,13828840,112480,1025000,6899542869,208,56,54,1,50840003,16510792128
ShuffleNet2.0-v2,"(320, 320, 3)",3737.5,3015.5,17.90604469,320,307200,13828840,112480,1025000,7456088557,208,56,54,1,55926224,17783500800
ShuffleNet2.0-v2,"(331, 331, 3)",3889.5,3017.5,18.31219922,331,328683,13828840,112480,1025000,8401535925,208,56,54,1,62061699,20114569664
ShuffleNet2.0-v2,"(448, 448, 3)",5183,3053,28.94075485,448,602112,13828840,112480,1025000,14583365101,208,56,54,1,109612496,34854678528
ShuffleNet2.0-v2,"(480, 480, 3)",5640,3060,31.74518492,480,691200,13828840,112480,1025000,16736396557,208,56,54,1,125830224,40011596800
ShuffleNet2.0-v2,"(568, 568, 3)",6857,3076,41.85072763,568,967872,13828840,112480,1025000,23891851853,208,56,54,1,178627056,57229238208
ShuffleNet2.0-v2,"(600, 600, 3)",7311,3092,45.38938366,600,1080000,13828840,112480,1025000,26627939181,208,56,54,1,199175024,63787103680
ShuffleNet2.0-v2,"(800, 800, 3)",9892,2874.5,75.43889535,800,1920000,13828840,112480,1025000,46433382157,208,56,54,1,349523024,111141504000
ShuffleNet2.0-v2,"(896, 896, 3)",11105,2933,93.68896064,896,2408448,13828840,112480,1025000,58237933933,208,56,54,1,438440912,139415642112
ShuffleNet2.0-v2,"(1024, 1024, 3)",12621,2985.5,117.55071842,1024,3145728,13828840,112480,1025000,76056125293,208,56,54,1,572656592,182093586432
ShuffleNet2.0-v2,"(1200, 1200, 3)",14661,3082,161.10816296,1200,4320000,13828840,112480,1025000,105102600317,208,56,54,1,788423472,251861863424
ShuffleNet2.0-v2,"(1600, 1600, 3)",17457,3451,282.36299635,1600,7680000,13828840,112480,1025000,185638002157,208,56,54,1,1398083024,444562944000
ShuffleNet2.0-v2,"(1792, 1792, 3)",18057,3533.5,352.62524065,1792,9633792,13828840,112480,1025000,232856209261,208,56,54,1,1753754576,557659496448
MNASNet0.35,"(32, 32, 3)",1450.5,1850,0.88274545,32,3072,393696,26432,401000,4576477,154,52,52,1,137992,29166976
MNASNet0.35,"(56, 56, 3)",1450.5,1848,0.93117526,56,9408,393696,26432,401000,10158685,154,52,52,1,453088,111713344
MNASNet0.35,"(64, 64, 3)",1450.5,1846,0.87583587,64,12288,393696,26432,401000,11045965,154,52,52,1,547768,115467904
MNASNet0.35,"(75, 75, 3)",1527,1845,0.9332991,75,16875,393696,26432,401000,17179645,154,52,52,1,836259,216410496
MNASNet0.35,"(112, 112, 3)",1527,1849,1.08595191,112,37632,393696,26432,401000,31158157,154,52,52,1,1719352,403720576
MNASNet0.35,"(128, 128, 3)",1527,1849,1.07152312,128,49152,393696,26432,401000,36923917,154,52,52,1,2186872,460671616
MNASNet0.35,"(150, 150, 3)",1527,1849,1.29442969,150,67500,393696,26432,401000,53754861,154,52,52,1,3139228,709351088
